data,etap_1,etap_2,etap_3,etap_4,etap_5,etap_6
2026-03-09,9601.8,8920.0,9828.2,8370.1,9446.3,12387.1
2026-03-10,621.7,8209.1,9926.1,10483.6,8503.7,13381.9
2026-03-11,9698.4,8141.9,10266.0,8977.7,7880.1,8177.0
2026-03-12,9394.5,7477.9,8333.1,9078.3,6872.9,5608.8
2026-03-16,10412.4,8338.8,12747.9,10075.0,9630.9,14509.1
2026-03-17,10328.2,7913.6,11666.1,11913.4,11163.0,13758.1
2026-03-18,10160.9,7385.8,11545.9,11703.0,9802.7,10639.5
2026-03-19,9129.1,7459.3,10429.9,8242.6,10166.4,7500.4
2026-03-23,11328.4,10091.9,11150.7,11191.9,10588.3,13214.8
2026-03-24,11376.5,11155.0,12190.3,15016.1,12980.4,13755.0
2026-03-25,10670.0,10729.1,11368.0,10843.5,11087.8,9432.1
2026-03-26,11370.9,11022.7,11368.8,9718.0,9061.8,8679.3
2026-03-30,12447.6,10939.7,10044.1,11499.8,18170.2,11880.3
2026-03-31,12885.1,14748.8,11525.4,13877.0,12092.2,13028.9
2026-04-01,13894.1,13099.5,12498.2,15891.9,15892.2,10244.2
2026-04-02,7837.9,8971.2,8172.9,8161.1,9216.0,5805.3
2026-04-07,7593.9,8981.9,5679.4,4914.4,7517.7,7319.9
2026-04-08,4016.4,6463.7,283.5,0.0,5387.4,6623.2
2026-04-09,6008.4,331.3,7023.4,5073.4,5268.3,5806.2
2026-04-13,10739.4,9264.0,9666.0,0.0,12292.6,12093.8
2026-04-14,13509.6,12178.8,10376.6,456.4,10717.1,10864.6
2026-04-15,14099.1,14682.8,11357.6,18734.9,8542.9,9116.1
2026-04-16,5614.2,7392.6,4385.8,4557.0,4047.8,3528.2
2026-04-20,8008.7,7597.8,8502.4,9611.1,8848.1,12564.5
2026-04-21,500.3,7107.1,9128.7,8472.3,6082.1,6730.6
2026-04-22,15138.3,11800.8,11878.5,9439.1,10095.8,10892.2
2026-04-23,16175.1,14041.8,10346.4,0.0,5860.5,6749.4
2026-05-04,8912.3,9143.4,9508.1,7372.0,9398.8,12623.3
2026-05-05,6745.6,8771.8,9486.6,10908.8,9806.4,14268.5
2026-05-06,10829.7,12226.8,11092.1,12148.2,11430.7,13699.7
2026-05-07,11337.9,10779.5,12226.0,7031.7,9270.4,6743.1
2026-05-11,10406.5,10441.3,11683.7,12845.0,12037.8,12398.7
2026-05-12,11107.7,11252.9,12435.9,9057.5,13470.6,9238.6
2026-05-13,11869.1,12262.2,13103.6,11275.9,10578.2,10775.4
2026-05-14,15760.7,12026.2,16673.0,14055.4,14282.1,13744.3
2026-05-19,4796.6,7716.3,7985.9,8535.6,8233.2,9679.0
2026-05-21,3479.1,6328.2,7055.9,1485.9,5775.2,4745.9
2026-05-25,10490.1,11247.5,10392.1,10418.9,10629.4,13548.2
2026-05-26,9442.6,10459.0,9138.9,9540.1,9455.1,9366.1
2026-05-27,9311.4,8492.0,9886.1,8084.5,9744.5,7450.5
2026-05-28,11413.6,12934.7,11997.2,8466.2,7379.7,7536.0
2026-06-02,9109.6,13273.2,10668.3,12939.1,14720.2,10954.6
2026-06-08,11459.5,11448.6,10153.3,8826.0,9653.6,9171.3
2026-06-09,11390.9,11406.1,431.5,8327.8,9465.7,9108.9
2026-06-22,10025.2,10094.6,12863.6,9244.1,0.0,11179.3
2026-06-24,15338.3,12679.0,9901.2,27102.7,13175.6,0.0
2026-06-25,14549.9,9721.7,11679.6,6033.2,13251.3,9559.5
2026-06-29,9218.7,10913.7,9014.1,0.0,10691.7,8557.6
2026-06-30,10444.2,11934.3,10933.5,0.0,10334.9,11360.7
